application_id,customer_id,application_date,product_type,acquisition_channel,device_os,customer_age,gender,city_tier,employment_type,monthly_income_inr,existing_emi_inr,credit_score,credit_history_months,kyc_status,requested_amount_inr,approved_amount_inr,tenure_months,interest_rate_pct,emi_amount_inr,application_status,disbursed_flag,disbursal_tat_hours,emis_paid,days_past_due,default_flag,fraud_flag,prev_loans_with_us,app_sessions_last_30d,customer_nps,rejection_reason
APP403862,FC04966,24/02/24,Buy Now Pay Later,Mobile App,Android,29,Male,Tier 1,SALARIED,34681.0,1150.0,580.0,54,Verified,8500.0,,3,26.27,,Rejected,0,,,,,0,0,7,10.0,Thin credit file
APP406530,FC02672,2024-10-23,Buy Now Pay Later,Mobile App,Android,18,Male,Tier 3,salaried,14364.0,5573.0,694.0,21,Verified,7100.0,,1,22.89,,Rejected,0,,,,,0,0,8,9.0,Low credit score
APP404769,FC02845,2024-10-27,Small Business Loan,Mobile App,Android,32,Male,Tier 1,Gig Worker,31367.0,2598.0,611.0,14,Pending,267200.0,,12,25.14,,Under Review,0,,,,,0,0,5,5.0,
APP402433,FC01187,26-05-2024,Credit Line,DSA Agent,Android,30,Male,Tier 1,Salaried,61159.0,6540.0,656.0,28,Verified,269500.0,,18,24.47,,Rejected,0,,,,,0,0,7,8.0,Thin credit file
APP406592,FC03516,2024-07-09,Personal Loan,Referral,Not Captured,42,Male,Tier 3,Gig Worker,36639.0,1855.0,873.0,3,Verified,222500.0,146600.0,12,15.14,13242.0,Approved,0,,,,,1,1,8,,
APP400971,FC05218,2023-11-17,Buy Now Pay Later,Mobile App,Android,25,Male,Tier 2,Salaried,48280.0,2199.0,642.0,23,Verified,11700.0,,3,21.41,,Under Review,0,,,,,0,1,5,8.0,
APP402310,FC01896,2024-08-18,Small Business Loan,DSA Agent,Android,29,Male,Tier 2,Salaried,57831.0,562.0,790.0,90,Verified,281100.0,222800.0,24,20.09,11349.0,Approved,1,19.3,21.0,0.0,0.0,0,0,2,8.0,
APP402321,FC03464,2024-01-31,Small Business Loan,Mobile App,Android,25,Female,Tier 1,SelfEmployed,112829.0,2173.0,792.0,47,Verified,188500.0,157700.0,18,20.4,10244.0,Approved,1,12.8,1.0,0.0,0.0,0,0,6,,
APP400806,FC00210,2023-09-27,Buy Now Pay Later,Website,Android,45,Female,Tier 2,Salaried,90434.0,4203.0,705.0,38,Verified,4900.0,3300.0,6,21.42,585.0,Approved,1,12.9,3.0,0.0,0.0,0,0,10,8.0,
APP402440,FC03970,2024-02-10,Credit Line,Partner Merchant,Android,22,Male,Tier 2,Gig Worker,29206.0,1439.0,642.0,23,Verified,160500.0,145800.0,12,24.52,13824.0,Approved,1,8.2,8.0,0.0,0.0,0,0,5,6.0,
APP404067,FC03630,16-08-2024,Buy Now Pay Later,Mobile App,Android,29,Female,Tier 1,Salaried,64122.0,3498.0,728.0,24,Verified,7300.0,4400.0,1,24.67,4490.0,Approved,1,9.5,0.0,0.0,0.0,0,0,6,6.0,
APP404886,FC05684,2024-04-18,Buy Now Pay Later,Partner Merchant,Android,19,Male,Tier 2,Self Employed,79125.0,8690.0,729.0,34,Verified,7300.0,5300.0,1,20.42,5390.0,Approved,1,3.0,0.0,0.0,0.0,0,0,6,7.0,
APP405932,FC00057,2024-09-26,Small Business Loan,Mobile App,Android,48,Female,Tier 2,Salaried,70984.0,1309.0,624.0,16,Verified,566900.0,,24,25.52,,Rejected,0,,,,,0,0,8,7.0,Thin credit file
APP402317,FC00645,2024-05-03,Small Business Loan,Mobile App,Android,32,Female,Tier 1,Salaried,33473.0,5278.0,582.0,25,Verified,283700.0,265200.0,18,26.6,18028.0,Approved,0,,,,,0,0,8,,
APP401235,FC00548,2024-01-02,Small Business Loan,Mobile App,Android,33,Male,Tier 2,Salaried,65349.0,5448.0,791.0,45,Verified,539400.0,477400.0,48,20.56,14670.0,Approved,1,13.1,12.0,0.0,0.0,0,0,10,,
APP400882,FC02174,2024-07-16,PERSONAL LOAN,DSA Agent,Not Captured,30,Female,Tier 1,Salaried,80996.0,10158.0,612.0,13,Verified,187200.0,,6,28.94,,Rejected,0,,,,,0,0,6,,Income below threshold
APP406904,FC02628,2024-07-28,BNPL,Mobile App,Android,31,Female,Tier 2,Self Employed,26083.0,21153.0,739.0,25,Verified,12000.0,,1,21.73,,Rejected,0,,,,,0,0,4,2.0,Income below threshold
APP402426,FC04675,2024-08-25,Two Wheeler Loan,Partner Merchant,Android,43,Female,Tier 1,Gig Worker,,8688.0,539.0,43,Verified,98600.0,,24,30.09,,Rejected,0,,,,,0,1,7,6.0,Thin credit file
APP404835,FC00544,2024-02-04,Small Business Loan,Mobile App,Android,28,Male,Tier 3,Self Employed,75543.0,2579.0,,38,Verified,367300.0,324300.0,48,18.83,9668.0,Approved,0,,,,,1,0,6,,
APP402000,FC01445,08-01-2024,Credit Line,Mobile App,Android,30,Male,Tier 2,Self Employed,66743.0,10626.0,0.0,73,Verified,338100.0,,48,25.94,,Under Review,0,,,,,0,0,4,,
APP405303,FC03613,2023-09-26,Small Business Loan,Mobile App,Android,32,Male,Tier 1,Salaried,63124.0,10362.0,543.0,25,Verified,534800.0,,6,26.5,,Rejected,0,,,,,1,0,3,,Low credit score
APP406269,FC01444,2024-05-24,Personal Loan,Mobile App,Android,25,Male,Tier 2,Self Employed,120280.0,1461.0,789.0,52,Failed,179100.0,158200.0,48,17.96,4644.0,Approved,1,7.8,20.0,0.0,0.0,0,0,7,5.0,
APP403159,FC03358,2023-09-14,Personal Loan,Mobile App,iOS,18,Male,Tier 2,SelfEmployed,86673.0,24547.0,683.0,15,Verified,117800.0,,48,25.37,,Under Review,0,,,,,0,2,2,,
APP402645,FC02817,2024-03-28,Personal Loan,Website,Android,39,Male,Tier 2,Salaried,39215.0,3939.0,638.0,41,Verified,90700.0,,12,26.75,,Under Review,0,,,,,0,0,5,5.0,
APP406928,FC05715,2024-09-01,Personal Loan,Mobile App,iOS,30,Male,Tier 1,Salaried,66646.0,2587.0,671.0,66,Verified,119300.0,108700.0,18,22.42,7167.0,Approved,1,24.6,17.0,0.0,0.0,0,0,5,,
APP405542,FC04564,2024-04-03,Buy Now Pay Later,Website,Android,36,Male,Tier 2,Self Employed,122805.0,582.0,868.0,28,Verified,2700.0,2400.0,1,19.83,2440.0,Approved,1,9.3,1.0,0.0,0.0,0,0,8,,
APP406911,FC01613,2023-09-29,Buy Now Pay Later,Mobile App,Android,38,Male,Tier 3,Self Employed,101040.0,462.0,723.0,25,Verified,11100.0,9500.0,1,22.23,9676.0,Approved,0,,,,,0,0,6,,
APP402168,FC03985,27-11-2023,Small Business Loan,Mobile App,iOS,44,Male,Tier 2,Student,12892.0,2281.0,,57,Pending,249900.0,,36,22.94,,Under Review,0,,,,,0,0,6,6.0,
APP403553,FC03939,2024-03-28,Two Wheeler Loan,Mobile App,Android,38,Male,Tier 2,Self Employed,43939.0,8631.0,797.0,42,Verified,78400.0,49400.0,24,18.93,2489.0,Approved,1,17.9,15.0,0.0,0.0,0,1,5,9.0,
APP404454,FC00344,2024-04-07,Buy Now Pay Later,Website,Android,46,Male,Tier 1,Salaried,26894.0,5945.0,610.0,58,VERIFIED,10700.0,,6,27.34,,Rejected,0,,,,,0,1,11,3.0,Thin credit file
APP401298,FC05626,2023-12-24,Personal Loan,Website,Android,31,Male,Tier 1,Self Employed,71444.0,3840.0,790.0,19,verified,112300.0,106800.0,12,18.03,9793.0,Approved,1,22.6,3.0,0.0,0.0,0,1,6,6.0,
APP400584,FC00794,2023-10-08,Personal Loan,Partner Merchant,Android,30,Male,Tier 3,Salaried,33993.0,56.0,784.0,87,VERIFIED,105700.0,93300.0,48,18.7,2775.0,Approved,1,39.9,15.0,0.0,0.0,0,0,6,7.0,
APP400692,FC02089,2024-07-03,personal loan,Partner Merchant,Android,32,Female,Tier 2,Salaried,34218.0,28290.0,818.0,22,Verified,135500.0,,48,17.74,,Rejected,0,,,,,0,2,7,8.0,High existing obligations
APP406272,FC01024,2024-01-17,Two Wheeler Loan,Partner Merchant,Android,31,Male,Tier 1,Salaried,21615.0,2221.0,561.0,31,Failed,80500.0,,36,25.55,,Rejected,0,,,,,0,2,5,,Low credit score
APP404250,FC03406,19/07/24,Personal Loan,Partner Merchant,Android,30,Male,Tier 3,Student,11932.0,206.0,880.0,107,Verified,247900.0,236600.0,6,16.46,41348.0,Approved,1,2.6,2.0,0.0,0.0,0,1,6,9.0,
APP401600,FC00566,2023-09-19,Small Business Loan,Partner Merchant,Android,32,Female,Tier 1,Self Employed,58691.0,9873.0,593.0,17,Verified,533100.0,,48,27.67,,Under Review,0,,,,,0,1,3,,
APP406004,FC01500,27-02-2024,Buy Now Pay Later,Website,Not Captured,37,Male,Tier 2,Salaried,54013.0,3208.0,818.0,21,Verified,2300.0,2300.0,3,16.41,788.0,Approved,1,17.7,1.0,0.0,0.0,0,0,8,5.0,
APP402368,FC05498,2024-09-27,Credit Line,DSA Agent,Android,34,Female,Tier 3,Gig Worker,46008.0,2943.0,635.0,47,Verified,121500.0,,24,24.11,,Rejected,0,,,,,0,0,6,5.0,Income below threshold
APP406262,FC00576,2024-04-13,Buy Now Pay Later,DSA Agent,Android,48,Male,Tier 3,Salaried,52700.0,1834.0,766.0,23,Verified,5800.0,5000.0,6,20.97,885.0,Approved,0,,,,,0,0,7,8.0,
APP402728,FC00605,2024-02-07,Credit Line,Mobile App,Android,27,Male,Tier 1,Salaried,6049.0,1487.0,613.0,23,Verified,96600.0,,12,25.59,,Rejected,0,,,,,0,0,9,7.0,KYC mismatch
APP402675,FC01594,2024-06-02,personal loan,DSA Agent,Android,40,Female,Tier 1,Student,9187.0,3927.0,697.0,53,Verified,124700.0,,48,25.09,,Rejected,0,,,,,0,0,7,10.0,Low credit score
APP400495,FC00170,2024-07-11,bnpl,DSA Agent,Android,31,Male,Tier 1,Salaried,39139.0,546.0,584.0,10,Verified,9600.0,,6,26.32,,Under Review,0,,,,,0,2,9,,
APP404943,FC05046,28/12/23,Personal Loan,Partner Merchant,iOS,25,Male,Tier 1,Self Employed,77592.0,3375.0,854.0,47,Verified,1000.0,600.0,48,16.27,17.0,Approved,1,4.2,20.0,0.0,0.0,0,0,3,,
APP406671,FC02249,2023-11-15,Two Wheeler Loan,Website,Android,19,Male,Tier 1,Gig Worker,25065.0,4017.0,762.0,56,Verified,81600.0,38900.0,6,19.61,6859.0,Approved,1,5.3,6.0,0.0,0.0,0,0,10,7.0,
APP400612,FC00151,2024-11-01,Personal Loan,Mobile App,Android,27,Female,Tier 2,SelfEmployed,95867.0,33643.0,770.0,58,Verified,132600.0,,18,18.42,,Rejected,0,,,,,0,1,4,6.0,High existing obligations
APP402037,FC00511,2024-08-07,Personal Loan,Partner Merchant,Not Captured,42,Female,Tier 3,Salaried,67418.0,8008.0,687.0,12,Verified,161700.0,116800.0,12,22.93,10984.0,Approved,1,6.7,5.0,0.0,0.0,0,2,4,,
APP404233,FC00924,2024-07-07,Buy Now Pay Later,Website,Android,26,Male,Tier 3,Self Employed,75902.0,1293.0,,40,Verified,4600.0,3600.0,3,23.66,1248.0,Approved,1,12.6,2.0,99.0,1.0,0,0,4,5.0,
APP403061,FC03436,03/07/24,Credit Line,Mobile App,iOS,23,Male,Tier 1,Salaried,11690.0,2829.0,634.0,26,Verified,248900.0,,12,25.69,,Under Review,0,,,,,0,1,10,3.0,
APP403215,FC05238,2023-11-27,Credit Line,Mobile App,Android,41,Male,Tier 2,self employed,103004.0,1612.0,784.0,50,Verified,81600.0,68800.0,6,20.85,12174.0,Approved,1,7.8,2.0,0.0,0.0,0,3,13,5.0,
APP401693,FC03788,2024-04-16,Buy Now Pay Later,Website,Android,25,Male,Tier 3,Salaried,18172.0,11697.0,691.0,35,Verified,3700.0,,1,23.23,,Rejected,0,,,,,1,1,4,,KYC mismatch
APP401847,FC02214,2024-08-20,Credit Line,Mobile App,Android,25,Male,Tier 1,Salaried,33472.0,1724.0,742.0,75,Verified,25900.0,64750.0,24,20.77,1184.0,Approved,1,5.4,2.0,0.0,0.0,0,0,6,7.0,
APP406596,FC00277,2024-05-29,Buy Now Pay Later,Partner Merchant,Not Captured,24,Male,Tier 1,Self Employed,31435.0,5892.0,721.0,54,Verified,10400.0,6000.0,6,20.45,1060.0,Approved,1,2.0,1.0,0.0,0.0,0,1,7,6.0,
APP404936,FC02304,06/08/24,Buy Now Pay Later,Mobile App,iOS,30,Female,Tier 2,Salaried,5000.0,4313.0,701.0,37,Verified,5800.0,,3,23.72,,Rejected,0,,,,,0,0,6,,KYC mismatch
APP402902,FC01302,2024-01-14,Buy Now Pay Later,Mobile App,Android,18,Female,Tier 3,Gig-Worker,22436.0,1954.0,751.0,12,Verified,5200.0,4000.0,1,19.29,4064.0,Approved,0,,,,,0,1,7,7.0,
APP404077,FC02549,16/05/24,PERSONAL LOAN,Mobile App,iOS,41,Female,Tier 2,Gig Worker,26854.0,3393.0,727.0,78,VERIFIED,306200.0,264600.0,12,22.59,24840.0,Approved,1,7.2,8.0,27.0,0.0,0,1,9,5.0,
APP401288,FC05742,27/01/24,Buy Now Pay Later,Mobile App,Android,26,Female,Tier 3,SelfEmployed,91073.0,514.0,646.0,24,Verified,7300.0,6600.0,1,23.55,6730.0,Approved,1,4.7,1.0,0.0,0.0,0,1,11,7.0,
APP406161,FC05768,2024-08-10,Two Wheeler Loan,Mobile App,Android,37,Female,Tier 3,Gig-Worker,32413.0,26060.0,582.0,19,Verified,111400.0,,36,23.25,,Rejected,0,,,,,0,1,6,,Thin credit file
APP403100,FC05791,2024-08-21,Buy Now Pay Later,DSA Agent,iOS,35,Female,Tier 1,Salaried,,15349.0,804.0,55,Verified,5600.0,5600.0,3,18.5,1925.0,Approved,1,5.4,1.0,0.0,0.0,0,1,8,7.0,
APP405954,FC01386,08/09/24,Buy Now Pay Later,Mobile App,Android,21,Female,Tier 2,Self Employed,99753.0,20209.0,885.0,41,verified,5000.0,5000.0,3,15.54,1710.0,Approved,1,2.2,2.0,0.0,0.0,0,2,9,6.0,
APP403877,FC00696,19-04-2024,Credit Line,Mobile App,Android,35,Male,Tier 3,Self Employed,75516.0,2427.0,626.0,61,Verified,144100.0,144100.0,36,25.88,5797.0,Approved,0,,,,,0,0,3,6.0,
APP400557,FC02856,2024-01-07,Credit Line,Partner Merchant,Android,21,Female,Tier 1,Salaried,60654.0,3216.0,666.0,19,Verified,1000.0,1000.0,18,22.02,66.0,Approved,0,,,,,0,1,9,9.0,
APP406289,FC01855,24/10/23,Buy Now Pay Later,Partner Merchant,iOS,42,Male,Tier 2,Gig Worker,21679.0,11730.0,716.0,69,Verified,2800.0,,1,23.27,,Under Review,0,,,,,0,1,7,,
APP402796,FC01534,2023-12-30,Buy Now Pay Later,Partner Merchant,Android,37,Male,Tier 1,Gig Worker,37544.0,12327.0,699.0,47,Verified,6700.0,,6,20.81,,Rejected,0,,,,,0,0,4,10.0,Low credit score
APP406408,FC00907,2024-05-28,Buy Now Pay Later,Partner Merchant,Android,40,Male,Tier 3,Salaried,50043.0,1899.0,722.0,46,Pending,10600.0,9900.0,3,20.18,3412.0,Approved,1,16.5,0.0,0.0,0.0,0,0,7,,
APP404363,FC02086,2023-10-09,Buy Now Pay Later,DSA Agent,Android,38,Male,Tier 2,Gig Worker,40144.0,25361.0,,49,Verified,7300.0,,6,23.6,,Rejected,0,,,,,0,0,7,5.0,Low credit score
APP401017,FC04064,2023-11-26,Two Wheeler Loan,Mobile App,Android,37,Female,Tier 1,Salaried,75595.0,2246.0,573.0,69,Verified,78900.0,,12,25.65,,Rejected,0,,,,,0,0,5,,High existing obligations
APP405123,FC00554,2023-09-10,Credit Line,Mobile App,Not Captured,27,Male,Tier 2,Self Employed,,898.0,814.0,71,VERIFIED,292400.0,241300.0,48,19.11,7229.0,Approved,1,23.1,14.0,0.0,0.0,0,0,3,6.0,
