application_id,customer_id,application_date,product_type,acquisition_channel,device_os,customer_age,gender,city_tier,employment_type,monthly_income_inr,existing_emi_inr,credit_score,credit_history_months,kyc_status,requested_amount_inr,approved_amount_inr,tenure_months,interest_rate_pct,emi_amount_inr,application_status,disbursed_flag,disbursal_tat_hours,emis_paid,days_past_due,default_flag,fraud_flag,prev_loans_with_us,app_sessions_last_30d,customer_nps,rejection_reason,dti_ratio
APP400165,FC00859,2024-05-27,Personal Loan,Mobile App,Android,28.0,Female,Tier 1,Student,12294.0,1911.0,818.0,22,Failed,135900.0,92700.0,36,15.34,3229.0,Approved,1,6.2,12.0,0.0,0.0,0,1,3,9.0,,0.1554416788677403
APP405379,FC05436,2023-12-16,Small Business Loan,Website,iOS,32.0,Male,Tier 2,Salaried,50837.0,9155.0,870.0,59,Verified,569000.0,406700.0,18,17.56,25865.0,Approved,0,,,,,0,0,7,9.0,,0.1800853708912799
APP403015,FC03581,2023-10-21,Two Wheeler Loan,Referral,Android,42.0,Male,Tier 2,Salaried,5000.0,2713.0,,33,Verified,57900.0,,12,23.76,,Rejected,0,,,,,0,1,7,6.0,Low credit score,0.5426
APP404775,FC02198,2024-09-15,BNPL,Mobile App,Android,36.0,Male,Tier 1,Salaried,11568.0,3981.0,746.0,34,Verified,1700.0,1000.0,1,21.68,1018.0,Approved,0,,,,,0,4,8,,,0.3441390041493776
APP406226,FC03696,2024-09-25,Personal Loan,Partner Merchant,iOS,21.0,Female,Tier 1,Gig Worker,19226.0,4732.0,548.0,41,Verified,224200.0,,12,30.52,,Rejected,0,,,,,0,0,4,8.0,Thin credit file,0.2461250390096744
APP406423,FC05590,18-09-2023,Credit Line,DSA Agent,Android,33.0,Female,Tier 2,Salaried,82097.0,11392.0,544.0,26,Verified,217800.0,,18,24.49,,Rejected,0,,,,,0,0,9,,KYC mismatch,0.1387626831674726
APP403362,FC02497,2023-12-06,Small Business Loan,Mobile App,Android,18.0,Female,Tier 2,Self Employed,111126.0,3696.0,608.0,31,Verified,329300.0,,24,26.57,,Rejected,0,,,,,0,1,8,6.0,KYC mismatch,0.0332595432212083
APP405539,FC00028,2024-04-02,Small Business Loan,Mobile App,Android,33.0,Female,Tier 1,Salaried,54160.0,4862.0,513.0,56,Verified,183900.0,,12,31.24,,Rejected,0,,,,,0,0,4,6.0,Thin credit file,0.0897710487444608
APP402234,FC04438,2024-04-02,Two Wheeler Loan,Website,iOS,43.0,Male,Tier 2,Gig Worker,23161.0,12063.0,631.0,24,Verified,98600.0,,48,25.12,,Rejected,0,,,,,0,0,5,8.0,Low credit score,0.520832433832736
APP402678,FC03722,2024-09-24,BNPL,Mobile App,Android,36.0,Male,Tier 2,Gig Worker,21672.0,38.0,812.0,25,Verified,9700.0,,1,18.64,,Under Review,0,,,,,0,0,16,,,0.0017534145441122
APP404325,FC02687,12/09/23,BNPL,Mobile App,Android,18.0,Female,Tier 1,Salaried,35735.0,7134.0,765.0,57,Failed,6300.0,4900.0,3,20.8,1690.0,Approved,1,29.2,1.0,0.0,0.0,0,0,6,10.0,,0.1996362109976213
APP401352,FC01822,2024-08-02,Small Business Loan,Mobile App,iOS,40.0,Male,Tier 2,Self Employed,57796.0,4762.0,542.0,29,Verified,719200.0,,24,27.44,,Rejected,0,,,,,0,0,2,6.0,KYC mismatch,0.0823932452072807
APP404709,FC02980,2024-04-24,Personal Loan,Partner Merchant,Android,36.0,Male,Tier 1,Salaried,38858.0,1272.0,640.0,31,Pending,230600.0,,36,23.4,,Rejected,0,,,,,0,0,4,,High existing obligations,0.0327345720314993
APP400627,FC05771,10-04-2024,Credit Line,Partner Merchant,Android,32.0,Female,Tier 1,Salaried,46807.0,6037.0,673.0,20,Verified,87300.0,,6,24.64,,Under Review,0,,,,,0,0,9,8.0,,0.1289764351485889
APP405916,FC04501,2024-10-09,Two Wheeler Loan,DSA Agent,Android,32.0,Male,Tier 2,Self Employed,53063.0,1791.0,657.0,54,Verified,76100.0,,24,24.11,,Under Review,0,,,,,0,0,6,8.0,,0.0337523321335016
APP405531,FC00743,2024-07-29,BNPL,Mobile App,Android,34.0,Male,Tier 1,Gig Worker,27793.0,8392.0,764.0,67,Verified,2500.0,2000.0,3,20.0,689.0,Approved,1,13.8,1.0,0.0,0.0,0,0,7,9.0,,0.3019465332997517
APP402135,FC01886,2023-12-24,Personal Loan,Partner Merchant,Android,42.0,Male,Tier 1,Self Employed,35012.0,10958.0,682.0,38,Pending,143100.0,143100.0,36,22.63,3532.0,Approved,1,8.6,33.0,0.0,0.0,0,2,6,10.0,,0.312978407403176
APP403666,FC02386,2024-10-04,Two Wheeler Loan,Mobile App,iOS,32.0,Male,Tier 3,Gig Worker,,15481.0,734.0,66,Verified,72300.0,,6,24.39,,Rejected,0,,,,,0,0,3,8.0,High existing obligations,
APP400662,FC00640,19-11-2023,Two Wheeler Loan,Website,iOS,18.0,Female,Tier 1,Self Employed,15860.0,14398.0,752.0,38,Verified,59500.0,,24,21.53,,Under Review,0,,,,,0,1,4,8.0,,0.9078184110970996
APP403704,FC04322,2023-09-21,Personal Loan,Mobile App,iOS,28.0,Male,Tier 2,Self Employed,37127.0,14722.0,755.0,21,Verified,201000.0,,36,18.97,,Rejected,0,,,,,0,0,4,,High existing obligations,0.3965308266221348
APP404595,FC04737,2024-09-10,Two Wheeler Loan,DSA Agent,iOS,42.0,Female,Tier 2,Salaried,27570.0,10418.0,709.0,50,Verified,81200.0,,36,22.84,,Rejected,0,,,,,0,0,2,5.0,Low credit score,0.3778745012694958
APP401743,FC02555,2024-08-21,Two Wheeler Loan,DSA Agent,Android,25.0,Male,Tier 1,Self Employed,73129.0,2232.0,685.0,23,Verified,96500.0,,6,26.11,,Under Review,0,,,,,0,0,8,8.0,,0.0305214073760067
APP405200,FC02582,2024-10-08,Two Wheeler Loan,DSA Agent,Android,32.0,Male,Tier 3,Self Employed,118857.0,14124.0,644.0,31,Pending,79300.0,79300.0,24,28.13,4358.0,Approved,1,18.1,5.0,55.0,0.0,0,0,7,7.0,,0.1188318735960019
APP404522,FC04718,2024-05-29,Small Business Loan,Mobile App,Android,39.0,Male,Tier 2,Student,,196.0,610.0,78,Verified,231900.0,,6,26.65,,Rejected,0,,,,,0,0,6,9.0,Thin credit file,
APP406367,FC03102,2024-11-09,Personal Loan,Mobile App,Android,33.0,Male,Tier 1,Salaried,57839.0,3444.0,772.0,9,Verified,326100.0,292500.0,48,24.81,9667.0,Approved,1,15.1,31.0,0.0,0.0,0,0,7,6.0,,0.0595445979356489
APP404104,FC00415,2023-10-21,BNPL,Partner Merchant,iOS,26.0,Male,Tier 2,Salaried,53005.0,2570.0,641.0,44,Verified,5600.0,,3,25.37,,Under Review,0,,,,,0,1,9,6.0,,0.0484859918875577
APP403343,FC03149,13-03-2024,Two Wheeler Loan,Website,Android,27.0,Male,Tier 2,Student,9002.0,497.0,829.0,7,Verified,102300.0,82500.0,24,16.28,4051.0,Approved,1,5.9,3.0,0.0,0.0,0,0,10,6.0,,0.0552099533437014
APP406020,FC00928,2024-09-21,Small Business Loan,DSA Agent,Android,45.0,Male,Tier 1,Salaried,35173.0,8041.0,756.0,44,Verified,1000.0,700.0,6,21.56,124.0,Approved,1,7.4,0.0,0.0,0.0,0,0,6,,,0.2286128564523924
APP406346,FC04384,2024-08-26,BNPL,Mobile App,Not Captured,40.0,Female,Tier 2,Salaried,58436.0,19724.0,900.0,27,Verified,4800.0,4800.0,6,17.44,841.0,Approved,1,8.3,6.0,0.0,0.0,0,2,4,4.0,,0.337531658566637
APP404190,FC03131,2024-07-25,Credit Line,Website,Android,18.0,Male,Tier 1,Self Employed,40709.0,12433.0,582.0,3,Verified,272200.0,,18,29.2,,Rejected,0,,,,,0,1,9,,Thin credit file,0.3054115797489499
APP402834,FC03292,2024-10-17,Small Business Loan,Mobile App,Android,31.0,Male,Tier 2,Gig Worker,32500.0,16554.0,489.0,75,Verified,182500.0,,6,31.29,,Rejected,0,,,,,0,2,6,6.0,Thin credit file,0.5093538461538462
APP405590,FC02205,2024-05-31,Credit Line,Mobile App,Android,45.0,Male,Tier 2,Self Employed,47959.0,596.0,632.0,12,Verified,248700.0,248700.0,6,25.52,44589.0,Approved,1,16.4,6.0,0.0,0.0,0,0,8,,,0.0124272816363977
APP400603,FC03288,2024-06-05,Personal Loan,Website,Android,28.0,Male,Tier 1,Salaried,29493.0,7086.0,855.0,36,Verified,77300.0,77300.0,6,16.1,13495.0,Approved,1,6.7,3.0,0.0,0.0,0,1,11,,,0.2402604007730648
APP404314,FC03303,18/09/23,BNPL,Mobile App,Android,30.0,Male,Tier 1,Self Employed,5000.0,4050.0,,45,Verified,3900.0,,6,28.78,,Rejected,0,,,,,0,2,7,4.0,Low credit score,0.81
APP400710,FC01800,2024-03-13,Two Wheeler Loan,Partner Merchant,Android,27.0,Male,Tier 1,Salaried,24698.0,2326.0,646.0,32,Verified,112800.0,95100.0,48,20.86,2938.0,Approved,0,,,,,0,0,2,,,0.0941776662077901
APP405406,FC01785,2024-03-05,Credit Line,Partner Merchant,iOS,47.0,Male,Tier 1,Gig Worker,10520.0,608.0,729.0,75,Verified,268400.0,,36,20.17,,Under Review,0,,,,,0,0,7,,,0.0577946768060836
APP402518,FC03376,2023-10-05,Credit Line,Website,Android,34.0,Male,Tier 1,Salaried,87262.0,11830.0,,25,Pending,29600.0,,36,23.73,,Rejected,0,,,,,0,1,9,,Income below threshold,0.1355687469918177
APP403862,FC04966,24/02/24,BNPL,Mobile App,Android,29.0,Male,Tier 1,Salaried,34681.0,1150.0,580.0,54,Verified,8500.0,,3,26.27,,Rejected,0,,,,,0,0,7,10.0,Thin credit file,0.0331593668002652
APP406530,FC02672,2024-10-23,BNPL,Mobile App,Android,18.0,Male,Tier 3,Salaried,14364.0,5573.0,694.0,21,Verified,7100.0,,1,22.89,,Rejected,0,,,,,0,0,8,9.0,Low credit score,0.3879838485101643
APP404769,FC02845,2024-10-27,Small Business Loan,Mobile App,Android,32.0,Male,Tier 1,Gig Worker,31367.0,2598.0,611.0,14,Pending,267200.0,,12,25.14,,Under Review,0,,,,,0,0,5,5.0,,0.0828258998310326
APP402433,FC01187,26-05-2024,Credit Line,DSA Agent,Android,30.0,Male,Tier 1,Salaried,61159.0,6540.0,656.0,28,Verified,269500.0,,18,24.47,,Rejected,0,,,,,0,0,7,8.0,Thin credit file,0.1069343841462417
APP406592,FC03516,2024-07-09,Personal Loan,Referral,Not Captured,42.0,Male,Tier 3,Gig Worker,36639.0,1855.0,873.0,3,Verified,222500.0,146600.0,12,15.14,13242.0,Approved,0,,,,,1,1,8,,,0.0506291110565244
APP400971,FC05218,2023-11-17,BNPL,Mobile App,Android,25.0,Male,Tier 2,Salaried,48280.0,2199.0,642.0,23,Verified,11700.0,,3,21.41,,Under Review,0,,,,,0,1,5,8.0,,0.0455468102734051
APP402310,FC01896,2024-08-18,Small Business Loan,DSA Agent,Android,29.0,Male,Tier 2,Salaried,57831.0,562.0,790.0,90,Verified,281100.0,222800.0,24,20.09,11349.0,Approved,1,19.3,21.0,0.0,0.0,0,0,2,8.0,,0.0097179713302554
APP402321,FC03464,2024-01-31,Small Business Loan,Mobile App,Android,25.0,Female,Tier 1,Self Employed,112829.0,2173.0,792.0,47,Verified,188500.0,157700.0,18,20.4,10244.0,Approved,1,12.8,1.0,0.0,0.0,0,0,6,,,0.0192592329986085
APP400806,FC00210,2023-09-27,BNPL,Website,Android,45.0,Female,Tier 2,Salaried,90434.0,4203.0,705.0,38,Verified,4900.0,3300.0,6,21.42,585.0,Approved,1,12.9,3.0,0.0,0.0,0,0,10,8.0,,0.0464758829643718
APP402440,FC03970,2024-02-10,Credit Line,Partner Merchant,Android,22.0,Male,Tier 2,Gig Worker,29206.0,1439.0,642.0,23,Verified,160500.0,145800.0,12,24.52,13824.0,Approved,1,8.2,8.0,0.0,0.0,0,0,5,6.0,,0.0492706978018215
APP404067,FC03630,16-08-2024,BNPL,Mobile App,Android,29.0,Female,Tier 1,Salaried,64122.0,3498.0,728.0,24,Verified,7300.0,4400.0,1,24.67,4490.0,Approved,1,9.5,0.0,0.0,0.0,0,0,6,6.0,,0.0545522597548423
APP404886,FC05684,2024-04-18,BNPL,Partner Merchant,Android,19.0,Male,Tier 2,Self Employed,79125.0,8690.0,729.0,34,Verified,7300.0,5300.0,1,20.42,5390.0,Approved,1,3.0,0.0,0.0,0.0,0,0,6,7.0,,0.109826224328594
APP405932,FC00057,2024-09-26,Small Business Loan,Mobile App,Android,48.0,Female,Tier 2,Salaried,70984.0,1309.0,624.0,16,Verified,566900.0,,24,25.52,,Rejected,0,,,,,0,0,8,7.0,Thin credit file,0.0184407753860024
APP402317,FC00645,2024-05-03,Small Business Loan,Mobile App,Android,32.0,Female,Tier 1,Salaried,33473.0,5278.0,582.0,25,Verified,283700.0,265200.0,18,26.6,18028.0,Approved,0,,,,,0,0,8,,,0.1576793236339736
APP401235,FC00548,2024-01-02,Small Business Loan,Mobile App,Android,33.0,Male,Tier 2,Salaried,65349.0,5448.0,791.0,45,Verified,539400.0,477400.0,48,20.56,14670.0,Approved,1,13.1,12.0,0.0,0.0,0,0,10,,,0.0833677638525455
APP400882,FC02174,2024-07-16,Personal Loan,DSA Agent,Not Captured,30.0,Female,Tier 1,Salaried,80996.0,10158.0,612.0,13,Verified,187200.0,,6,28.94,,Rejected,0,,,,,0,0,6,,Income below threshold,0.1254136006716381
APP406904,FC02628,2024-07-28,BNPL,Mobile App,Android,31.0,Female,Tier 2,Self Employed,26083.0,21153.0,739.0,25,Verified,12000.0,,1,21.73,,Rejected,0,,,,,0,0,4,2.0,Income below threshold,0.8109879998466434
APP402426,FC04675,2024-08-25,Two Wheeler Loan,Partner Merchant,Android,43.0,Female,Tier 1,Gig Worker,,8688.0,539.0,43,Verified,98600.0,,24,30.09,,Rejected,0,,,,,0,1,7,6.0,Thin credit file,
APP404835,FC00544,2024-02-04,Small Business Loan,Mobile App,Android,28.0,Male,Tier 3,Self Employed,75543.0,2579.0,,38,Verified,367300.0,324300.0,48,18.83,9668.0,Approved,0,,,,,1,0,6,,,0.0341394967104827
APP402000,FC01445,08-01-2024,Credit Line,Mobile App,Android,30.0,Male,Tier 2,Self Employed,66743.0,10626.0,,73,Verified,338100.0,,48,25.94,,Under Review,0,,,,,0,0,4,,,0.1592077071752843
APP405303,FC03613,2023-09-26,Small Business Loan,Mobile App,Android,32.0,Male,Tier 1,Salaried,63124.0,10362.0,543.0,25,Verified,534800.0,,6,26.5,,Rejected,0,,,,,1,0,3,,Low credit score,0.1641530954945821
APP406269,FC01444,2024-05-24,Personal Loan,Mobile App,Android,25.0,Male,Tier 2,Self Employed,120280.0,1461.0,789.0,52,Failed,179100.0,158200.0,48,17.96,4644.0,Approved,1,7.8,20.0,0.0,0.0,0,0,7,5.0,,0.0121466577984702
APP403159,FC03358,2023-09-14,Personal Loan,Mobile App,iOS,18.0,Male,Tier 2,Self Employed,86673.0,24547.0,683.0,15,Verified,117800.0,,48,25.37,,Under Review,0,,,,,0,2,2,,,0.2832139189828435
APP402645,FC02817,2024-03-28,Personal Loan,Website,Android,39.0,Male,Tier 2,Salaried,39215.0,3939.0,638.0,41,Verified,90700.0,,12,26.75,,Under Review,0,,,,,0,0,5,5.0,,0.1004462578095116
APP406928,FC05715,2024-09-01,Personal Loan,Mobile App,iOS,30.0,Male,Tier 1,Salaried,66646.0,2587.0,671.0,66,Verified,119300.0,108700.0,18,22.42,7167.0,Approved,1,24.6,17.0,0.0,0.0,0,0,5,,,0.0388170332803168
APP405542,FC04564,2024-04-03,BNPL,Website,Android,36.0,Male,Tier 2,Self Employed,122805.0,582.0,868.0,28,Verified,2700.0,2400.0,1,19.83,2440.0,Approved,1,9.3,1.0,0.0,0.0,0,0,8,,,0.0047392207157689
APP406911,FC01613,2023-09-29,BNPL,Mobile App,Android,38.0,Male,Tier 3,Self Employed,101040.0,462.0,723.0,25,Verified,11100.0,9500.0,1,22.23,9676.0,Approved,0,,,,,0,0,6,,,0.0045724465558194
APP402168,FC03985,27-11-2023,Small Business Loan,Mobile App,iOS,44.0,Male,Tier 2,Student,12892.0,2281.0,,57,Pending,249900.0,,36,22.94,,Under Review,0,,,,,0,0,6,6.0,,0.1769314303443996
APP403553,FC03939,2024-03-28,Two Wheeler Loan,Mobile App,Android,38.0,Male,Tier 2,Self Employed,43939.0,8631.0,797.0,42,Verified,78400.0,49400.0,24,18.93,2489.0,Approved,1,17.9,15.0,0.0,0.0,0,1,5,9.0,,0.1964314162816632
APP404454,FC00344,2024-04-07,BNPL,Website,Android,46.0,Male,Tier 1,Salaried,26894.0,5945.0,610.0,58,Verified,10700.0,,6,27.34,,Rejected,0,,,,,0,1,11,3.0,Thin credit file,0.2210530229791031
APP401298,FC05626,2023-12-24,Personal Loan,Website,Android,31.0,Male,Tier 1,Self Employed,71444.0,3840.0,790.0,19,Verified,112300.0,106800.0,12,18.03,9793.0,Approved,1,22.6,3.0,0.0,0.0,0,1,6,6.0,,0.0537483903476849
APP400584,FC00794,2023-10-08,Personal Loan,Partner Merchant,Android,30.0,Male,Tier 3,Salaried,33993.0,56.0,784.0,87,Verified,105700.0,93300.0,48,18.7,2775.0,Approved,1,39.9,15.0,0.0,0.0,0,0,6,7.0,,0.0016473979937045
APP400692,FC02089,2024-07-03,Personal Loan,Partner Merchant,Android,32.0,Female,Tier 2,Salaried,34218.0,28290.0,818.0,22,Verified,135500.0,,48,17.74,,Rejected,0,,,,,0,2,7,8.0,High existing obligations,0.826757846747326
APP406272,FC01024,2024-01-17,Two Wheeler Loan,Partner Merchant,Android,31.0,Male,Tier 1,Salaried,21615.0,2221.0,561.0,31,Failed,80500.0,,36,25.55,,Rejected,0,,,,,0,2,5,,Low credit score,0.1027527180198936
APP404250,FC03406,19/07/24,Personal Loan,Partner Merchant,Android,30.0,Male,Tier 3,Student,11932.0,206.0,880.0,107,Verified,247900.0,236600.0,6,16.46,41348.0,Approved,1,2.6,2.0,0.0,0.0,0,1,6,9.0,,0.0172644988266845
APP401600,FC00566,2023-09-19,Small Business Loan,Partner Merchant,Android,32.0,Female,Tier 1,Self Employed,58691.0,9873.0,593.0,17,Verified,533100.0,,48,27.67,,Under Review,0,,,,,0,1,3,,,0.1682199996592322
APP406004,FC01500,27-02-2024,BNPL,Website,Not Captured,37.0,Male,Tier 2,Salaried,54013.0,3208.0,818.0,21,Verified,2300.0,2300.0,3,16.41,788.0,Approved,1,17.7,1.0,0.0,0.0,0,0,8,5.0,,0.0593931090663358
APP402368,FC05498,2024-09-27,Credit Line,DSA Agent,Android,34.0,Female,Tier 3,Gig Worker,46008.0,2943.0,635.0,47,Verified,121500.0,,24,24.11,,Rejected,0,,,,,0,0,6,5.0,Income below threshold,0.0639671361502347
APP406262,FC00576,2024-04-13,BNPL,DSA Agent,Android,48.0,Male,Tier 3,Salaried,52700.0,1834.0,766.0,23,Verified,5800.0,5000.0,6,20.97,885.0,Approved,0,,,,,0,0,7,8.0,,0.0348007590132827
APP402728,FC00605,2024-02-07,Credit Line,Mobile App,Android,27.0,Male,Tier 1,Salaried,6049.0,1487.0,613.0,23,Verified,96600.0,,12,25.59,,Rejected,0,,,,,0,0,9,7.0,KYC mismatch,0.2458257563233592
APP402675,FC01594,2024-06-02,Personal Loan,DSA Agent,Android,40.0,Female,Tier 1,Student,9187.0,3927.0,697.0,53,Verified,124700.0,,48,25.09,,Rejected,0,,,,,0,0,7,10.0,Low credit score,0.4274518341134211
APP400495,FC00170,2024-07-11,BNPL,DSA Agent,Android,31.0,Male,Tier 1,Salaried,39139.0,546.0,584.0,10,Verified,9600.0,,6,26.32,,Under Review,0,,,,,0,2,9,,,0.0139502797720943
APP404943,FC05046,28/12/23,Personal Loan,Partner Merchant,iOS,25.0,Male,Tier 1,Self Employed,77592.0,3375.0,854.0,47,Verified,1000.0,600.0,48,16.27,17.0,Approved,1,4.2,20.0,0.0,0.0,0,0,3,,,0.0434967522424992
APP406671,FC02249,2023-11-15,Two Wheeler Loan,Website,Android,19.0,Male,Tier 1,Gig Worker,25065.0,4017.0,762.0,56,Verified,81600.0,38900.0,6,19.61,6859.0,Approved,1,5.3,6.0,0.0,0.0,0,0,10,7.0,,0.1602633153800119
APP400612,FC00151,2024-11-01,Personal Loan,Mobile App,Android,27.0,Female,Tier 2,Self Employed,95867.0,33643.0,770.0,58,Verified,132600.0,,18,18.42,,Rejected,0,,,,,0,1,4,6.0,High existing obligations,0.3509341066268893
APP402037,FC00511,2024-08-07,Personal Loan,Partner Merchant,Not Captured,42.0,Female,Tier 3,Salaried,67418.0,8008.0,687.0,12,Verified,161700.0,116800.0,12,22.93,10984.0,Approved,1,6.7,5.0,0.0,0.0,0,2,4,,,0.1187813343617431
APP404233,FC00924,2024-07-07,BNPL,Website,Android,26.0,Male,Tier 3,Self Employed,75902.0,1293.0,,40,Verified,4600.0,3600.0,3,23.66,1248.0,Approved,1,12.6,2.0,99.0,1.0,0,0,4,5.0,,0.0170351242391504
APP403061,FC03436,03/07/24,Credit Line,Mobile App,iOS,23.0,Male,Tier 1,Salaried,11690.0,2829.0,634.0,26,Verified,248900.0,,12,25.69,,Under Review,0,,,,,0,1,10,3.0,,0.2420017108639863
APP403215,FC05238,2023-11-27,Credit Line,Mobile App,Android,41.0,Male,Tier 2,Self Employed,103004.0,1612.0,784.0,50,Verified,81600.0,68800.0,6,20.85,12174.0,Approved,1,7.8,2.0,0.0,0.0,0,3,13,5.0,,0.0156498776746534
APP401693,FC03788,2024-04-16,BNPL,Website,Android,25.0,Male,Tier 3,Salaried,18172.0,11697.0,691.0,35,Verified,3700.0,,1,23.23,,Rejected,0,,,,,1,1,4,,KYC mismatch,0.6436825885978429
APP401847,FC02214,2024-08-20,Credit Line,Mobile App,Android,25.0,Male,Tier 1,Salaried,33472.0,1724.0,742.0,75,Verified,25900.0,25900.0,24,20.77,1184.0,Approved,1,5.4,2.0,0.0,0.0,0,0,6,7.0,,0.0515057361376673
APP406596,FC00277,2024-05-29,BNPL,Partner Merchant,Not Captured,24.0,Male,Tier 1,Self Employed,31435.0,5892.0,721.0,54,Verified,10400.0,6000.0,6,20.45,1060.0,Approved,1,2.0,1.0,0.0,0.0,0,1,7,6.0,,0.1874343884205503
APP404936,FC02304,06/08/24,BNPL,Mobile App,iOS,30.0,Female,Tier 2,Salaried,5000.0,4313.0,701.0,37,Verified,5800.0,,3,23.72,,Rejected,0,,,,,0,0,6,,KYC mismatch,0.8626
APP402902,FC01302,2024-01-14,BNPL,Mobile App,Android,18.0,Female,Tier 3,Gig Worker,22436.0,1954.0,751.0,12,Verified,5200.0,4000.0,1,19.29,4064.0,Approved,0,,,,,0,1,7,7.0,,0.087092173292922
APP404077,FC02549,16/05/24,Personal Loan,Mobile App,iOS,41.0,Female,Tier 2,Gig Worker,26854.0,3393.0,727.0,78,Verified,306200.0,264600.0,12,22.59,24840.0,Approved,1,7.2,8.0,27.0,0.0,0,1,9,5.0,,0.1263498920086393
APP401288,FC05742,27/01/24,BNPL,Mobile App,Android,26.0,Female,Tier 3,Self Employed,91073.0,514.0,646.0,24,Verified,7300.0,6600.0,1,23.55,6730.0,Approved,1,4.7,1.0,0.0,0.0,0,1,11,7.0,,0.0056438241849944
APP406161,FC05768,2024-08-10,Two Wheeler Loan,Mobile App,Android,37.0,Female,Tier 3,Gig Worker,32413.0,26060.0,582.0,19,Verified,111400.0,,36,23.25,,Rejected,0,,,,,0,1,6,,Thin credit file,0.8039983957054269
APP403100,FC05791,2024-08-21,BNPL,DSA Agent,iOS,35.0,Female,Tier 1,Salaried,,15349.0,804.0,55,Verified,5600.0,5600.0,3,18.5,1925.0,Approved,1,5.4,1.0,0.0,0.0,0,1,8,7.0,,
APP405954,FC01386,08/09/24,BNPL,Mobile App,Android,21.0,Female,Tier 2,Self Employed,99753.0,20209.0,885.0,41,Verified,5000.0,5000.0,3,15.54,1710.0,Approved,1,2.2,2.0,0.0,0.0,0,2,9,6.0,,0.2025903982837608
